description,label,filename,data
resized (120x120)fire0or1 images in rgb,0,coast_arnat59.jpg,"[[0.33673761 0.33828919 0.33810173 ... 0.64376805 0.6439604  0.64460266]
 [0.34051542 0.34252545 0.35013951 ... 0.65210076 0.65487566 0.64615996]
 [0.3409522  0.34631764 0.34619883 ... 0.65033296 0.64718709 0.65329486]
 ...
 [0.05128588 0.05128588 0.05128588 ... 0.05128588 0.05128588 0.05128588]
 [0.05128588 0.05128588 0.05128588 ... 0.05128588 0.05128588 0.05128588]
 [0.05128588 0.05128588 0.05128588 ... 0.05128588 0.05128588 0.05128588]]"
resized (120x120)fire0or1 images in rgb,0,coast_art1130.jpg,"[[0.41677244 0.41729377 0.41760721 ... 0.43750791 0.43769737 0.43769737]
 [0.4268064  0.42674259 0.42924024 ... 0.43799309 0.4379401  0.4379401 ]
 [0.43019823 0.43044937 0.43307617 ... 0.44499259 0.4448751  0.44487505]
 ...
 [0.29003953 0.28790566 0.29378519 ... 0.30367451 0.28308334 0.2954563 ]
 [0.27613898 0.27568194 0.27944115 ... 0.28061811 0.29645231 0.30748215]
 [0.02958828 0.03029352 0.02771655 ... 0.02913937 0.03872611 0.03525483]]"
resized (120x120)fire0or1 images in rgb,0,coast_art294.jpg,"[[0.52054468 0.52431997 0.51789518 ... 0.43579851 0.43355262 0.43198004]
 [0.52355932 0.51976475 0.52281008 ... 0.43237232 0.43186674 0.43309299]
 [0.52467011 0.52365668 0.52494163 ... 0.4399821  0.43777691 0.4349492 ]
 ...
 [0.33065299 0.32216175 0.31542657 ... 0.17071295 0.17813373 0.18288406]
 [0.33406781 0.32499927 0.32579113 ... 0.17529367 0.17822256 0.18020747]
 [0.33101843 0.32200079 0.31890312 ... 0.18514916 0.1824329  0.17634885]]"
resized (120x120)fire0or1 images in rgb,0,coast_art487.jpg,"[[0.97904256 0.97855123 0.98030215 ... 0.94703041 0.94363035 0.93931855]
 [0.97406703 0.98234487 0.98552507 ... 0.94914165 0.94928376 0.9450569 ]
 [0.97077541 0.98897528 0.98491319 ... 0.95239461 0.94583516 0.94307176]
 ...
 [0.68621694 0.58664429 0.52795012 ... 0.59219524 0.61152401 0.60379005]
 [0.70054835 0.62566923 0.61535015 ... 0.62071852 0.64564583 0.62846079]
 [0.66684404 0.6031284  0.63298874 ... 0.60081168 0.58764814 0.64533359]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea1.jpg,"[[0.35962901 0.35797878 0.36362436 ... 0.12443924 0.08769297 0.05801287]
 [0.52682877 0.52516621 0.5191494  ... 0.23688393 0.1932628  0.09818172]
 [0.52194155 0.5145664  0.52265356 ... 0.20469657 0.46593041 0.16301178]
 ...
 [0.61276595 0.58245433 0.55503718 ... 0.76026737 0.78497311 0.76028065]
 [0.60266037 0.60374538 0.63412401 ... 0.8304482  0.83417632 0.78798415]
 [0.5494395  0.59687927 0.6904099  ... 0.77355542 0.79096174 0.74299822]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea10.jpg,"[[0.35691242 0.35293962 0.29998087 ... 0.055186   0.0315718  0.03844813]
 [0.41012902 0.44039197 0.45294468 ... 0.04192284 0.03009698 0.02888044]
 [0.40854849 0.42401668 0.4971784  ... 0.08935982 0.03883228 0.0667163 ]
 ...
 [0.7652211  0.77999949 0.74609801 ... 0.22714538 0.22248147 0.2498777 ]
 [0.75431816 0.74085225 0.68480237 ... 0.46048044 0.45967597 0.41775349]
 [0.42437344 0.43650894 0.42620759 ... 0.3672468  0.36854881 0.37452303]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea14.jpg,"[[0.17781883 0.48458915 0.59713433 ... 0.24133451 0.30412266 0.27433555]
 [0.49516157 0.58481381 0.55406923 ... 0.31808732 0.28773175 0.28901691]
 [0.71025462 0.63906088 0.59675878 ... 0.24263503 0.3328294  0.27640444]
 ...
 [0.58325389 0.6278795  0.62967867 ... 0.83180661 0.82020806 0.77980174]
 [0.52692639 0.59820138 0.5744086  ... 0.74352698 0.80385407 0.76890144]
 [0.33808815 0.6255718  0.59272288 ... 0.78327036 0.78147586 0.76850022]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea2.jpg,"[[0.38247345 0.38419394 0.39392433 ... 0.67656058 0.68086446 0.67730358]
 [0.36748131 0.36900194 0.36976888 ... 0.65011052 0.66014589 0.65524671]
 [0.38311886 0.3698381  0.37394687 ... 0.69725651 0.69111728 0.68453221]
 ...
 [0.9680271  0.95238062 0.89461338 ... 0.18804864 0.16292326 0.18250563]
 [0.94797554 0.89594291 0.963674   ... 0.38247132 0.37941458 0.31337074]
 [0.51911316 0.53555926 0.56257374 ... 0.39634849 0.42786952 0.39947881]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea20.jpg,"[[0.44112308 0.44150973 0.44306611 ... 0.40594541 0.40334982 0.40359743]
 [0.44769902 0.44578875 0.44763462 ... 0.40560982 0.40470198 0.40429345]
 [0.4457267  0.44491852 0.45007471 ... 0.40461491 0.4068612  0.40419995]
 ...
 [0.49550835 0.51466215 0.50344737 ... 0.2289895  0.24125983 0.28122359]
 [0.20143397 0.22016774 0.24125771 ... 0.21858079 0.21532749 0.23248931]
 [0.11950352 0.12982574 0.12878633 ... 0.0177898  0.01990755 0.01782926]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea24.jpg,"[[0.10035687 0.10204534 0.10135033 ... 0.05529361 0.05593064 0.05693228]
 [0.38664716 0.38240404 0.38003608 ... 0.21455319 0.21505055 0.21197251]
 [0.39385455 0.39757661 0.3936323  ... 0.22036048 0.21978193 0.21645355]
 ...
 [0.13321773 0.10371051 0.09540835 ... 0.27983782 0.31522214 0.3546379 ]
 [0.15042639 0.1203557  0.11495583 ... 0.23882714 0.30752013 0.43987569]
 [0.07561809 0.05594935 0.06257588 ... 0.66528095 0.83985976 0.88578614]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea26.jpg,"[[0.30288116 0.31091543 0.31182438 ... 0.49534121 0.48870181 0.4789351 ]
 [0.30451435 0.30859995 0.31526725 ... 0.50123976 0.49142496 0.48791477]
 [0.30203195 0.30745695 0.31445971 ... 0.50094382 0.49994683 0.49235566]
 ...
 [0.67272179 0.67307657 0.66898654 ... 0.50011547 0.50125973 0.53246562]
 [0.64675776 0.657213   0.61979594 ... 0.49110044 0.48060176 0.51597423]
 [0.11212378 0.11486188 0.12343261 ... 0.07292586 0.06976739 0.08245905]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea27.jpg,"[[0.64839426 0.65137984 0.65842534 ... 0.7649972  0.77491228 0.77254516]
 [0.62394311 0.62552629 0.62906787 ... 0.73334549 0.73535004 0.73446761]
 [0.62607802 0.62334776 0.62608491 ... 0.73145957 0.72620526 0.73542731]
 ...
 [0.1911838  0.14892296 0.21823784 ... 0.67324939 0.64633735 0.41689981]
 [0.15304839 0.16985324 0.18869163 ... 0.5760123  0.58304885 0.44399124]
 [0.19709503 0.18727914 0.22617928 ... 0.68387006 0.30157666 0.46342313]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea29.jpg,"[[0.60018462 0.6051566  0.59826769 ... 0.44466686 0.43972006 0.43554181]
 [0.61189015 0.60584677 0.60262599 ... 0.46861954 0.470906   0.46661074]
 [0.61431624 0.6194058  0.61269244 ... 0.49558246 0.483786   0.46940362]
 ...
 [0.5112285  0.54361933 0.57584674 ... 0.6106707  0.64749059 0.65034288]
 [0.61048724 0.67196668 0.6368416  ... 0.59950846 0.55975917 0.54100253]
 [0.65542481 0.67516542 0.70079305 ... 0.5531456  0.53921582 0.52653746]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea3.jpg,"[[0.10523599 0.10538074 0.10507855 ... 0.12008646 0.08327883 0.07963008]
 [0.14238415 0.14338781 0.14248847 ... 0.18660264 0.15488856 0.11857825]
 [0.13793684 0.13799047 0.13792046 ... 0.21507141 0.20907831 0.17442598]
 ...
 [0.78935197 0.79294393 0.79395627 ... 0.74264033 0.76884856 0.74426262]
 [0.79966443 0.79915188 0.79677241 ... 0.76209132 0.72018516 0.67904249]
 [0.79907184 0.80299567 0.80196372 ... 0.80683866 0.73594906 0.70354973]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea30.jpg,"[[0.05658825 0.05715698 0.0606278  ... 0.07006668 0.06314472 0.07648768]
 [0.36266448 0.36595839 0.37009454 ... 0.41895771 0.41900892 0.42443609]
 [0.3795248  0.37873876 0.38547394 ... 0.4361604  0.44052079 0.44039398]
 ...
 [0.36088971 0.34966026 0.36083873 ... 0.39058007 0.38087916 0.38509275]
 [0.36932866 0.36849417 0.36522743 ... 0.37498049 0.36982576 0.36254563]
 [0.36501894 0.36696463 0.37511214 ... 0.39052186 0.39225567 0.38791461]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea33.jpg,"[[0.32725252 0.32198424 0.32397517 ... 0.48277192 0.48108407 0.4688383 ]
 [0.32941594 0.32936155 0.33269719 ... 0.48930813 0.48811616 0.48099991]
 [0.33281829 0.33501501 0.33754658 ... 0.47355323 0.48964904 0.47353814]
 ...
 [0.03248054 0.03144506 0.03658866 ... 0.03136803 0.03136803 0.03136803]
 [0.02277425 0.02366483 0.02419795 ... 0.02414039 0.02414039 0.02414039]
 [0.0090528  0.00783985 0.00794308 ... 0.00819484 0.00819484 0.00819484]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea38.jpg,"[[0.68273395 0.68347567 0.67948811 ... 0.62007702 0.62613856 0.61272233]
 [0.67081688 0.66481462 0.66196252 ... 0.60124886 0.58554545 0.57315154]
 [0.72016805 0.72072023 0.69319835 ... 0.59737936 0.57389539 0.57336788]
 ...
 [0.36778447 0.26942835 0.32212087 ... 0.25988662 0.25259825 0.26998352]
 [0.33874486 0.35238799 0.36636088 ... 0.25818071 0.24492705 0.23839807]
 [0.02034858 0.02140962 0.02311116 ... 0.25644181 0.22735604 0.24534036]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea39.jpg,"[[0.22317707 0.2250301  0.22780954 ... 0.28143353 0.2989983  0.30645533]
 [0.22480756 0.23316583 0.2352347  ... 0.27209633 0.27290078 0.285266  ]
 [0.2385693  0.23998401 0.24320333 ... 0.2686807  0.2777532  0.28652742]
 ...
 [0.38224913 0.39732912 0.4210785  ... 0.18310067 0.26112488 0.1935415 ]
 [0.41378458 0.41247521 0.4135266  ... 0.26125205 0.22842323 0.27452839]
 [0.41779302 0.4198625  0.39796116 ... 0.26645058 0.27308325 0.25998548]]"
resized (120x120)fire0or1 images in rgb,0,coast_bea4.jpg,"[[0.35214821 0.36309797 0.33913366 ... 0.34787633 0.34838377 0.34646889]
 [0.36119002 0.35424044 0.3571318  ... 0.34691657 0.34536279 0.33242678]
 [0.33978657 0.33851633 0.34017585 ... 0.38245089 0.37584775 0.35203882]
 ...
 [0.60448392 0.52320997 0.53631769 ... 0.96908825 0.96797428 0.96697867]
 [0.66359164 0.60649249 0.64947451 ... 0.96448845 0.96669834 0.96078494]
 [0.62044295 0.60483517 0.74325714 ... 0.97102416 0.97765674 0.97657353]]"
